Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
18-Oct-2020,9732,5199.019762,NaN,NaN,NaN,NaN,606775,70843103,6432197,NaN,NaN,October
19-Oct-2020,8196,5275.646968,1.051378159,1.855353475,0.513644099,NaN,NaN,72598419,4045125,849843,NaN,October
20-Oct-2020,11307,8324.033577,0.89848169,2.678917646,0.523460329,NaN,507312,70857644,6760883,348232,NaN,October
21-Oct-2020,6162,2511.667357,0.826500297,0.826500297,0.826500297,NaN,NaN,79714938,3300710,NaN,NaN,October
22-Oct-2020,7291,4543.219002,4.547692667,9.322275162,0.514622867,NaN,NaN,65882124,4101182,NaN,NaN,October
23-Oct-2020,8469,4809.476167,0.936295867,2.61193943,0.504242003,NaN,NaN,63566402,5179972,NaN,NaN,October
24-Oct-2020,9609,4597.137212,2.780654414,15.99110603,0.500238061,NaN,NaN,68222188,5352425,NaN,NaN,October
25-Oct-2020,8849,6078.649388,NaN,NaN,NaN,NaN,1751867,68961045,5735628,NaN,NaN,October
26-Oct-2020,7099,4130.341424,12.94973226,34.72257233,0.507163286,NaN,NaN,60810055,4638876,NaN,NaN,October
27-Oct-2020,10751,6290.860957,1.435198428,14.78111553,0.500935853,NaN,NaN,73222490,6270398,NaN,NaN,October
28-Oct-2020,7305,3542.248563,2.488775352,32.92720032,0.505592167,NaN,NaN,71057284,3608106,NaN,NaN,October
29-Oct-2020,2276,545.3695861,22.57668679,34.31212234,0.697643518,NaN,NaN,68872402,1120222,NaN,NaN,October
30-Oct-2020,11312,7051.20635,2.660232218,3.715400934,0.507649302,NaN,NaN,72083443,6753073,NaN,NaN,October
31-Oct-2020,10897,10458.11697,2.04104431,3.414123774,0.516601682,NaN,1437544,71671345,7236025,NaN,NaN,October
01-Nov-2020,8624,5316.397836,1.861400705,4.337576389,0.508721769,NaN,1203217,73944769,5206200,NaN,NaN,November
02-Nov-2020,12971,7334.474116,2.431524888,28.15019226,0.592300117,NaN,435147,69987503,7690290,NaN,NaN,November
03-Nov-2020,11406,11982.86628,1.507574783,6.017879009,0.54487431,NaN,1897822,67769923,6619993,NaN,NaN,November
04-Nov-2020,4257,2218.260979,2.030156233,3.321480036,0.502564132,NaN,NaN,83896178,2186883,NaN,NaN,November
05-Nov-2020,4291,1747.022397,6.508725309,20.4936676,0.526109219,NaN,NaN,72284245,3641680,NaN,NaN,November
06-Nov-2020,9089,5159.324822,1.603898346,1.643336773,1.56445992,NaN,NaN,70826808,6151979,NaN,NaN,November
07-Nov-2020,5231,3903.192563,3.132075226,4.368571281,0.535040319,NaN,NaN,82255827,3791469,NaN,NaN,November
08-Nov-2020,12691,7448.465382,1.272769655,13.33645248,0.534328461,NaN,NaN,73783518,8802369,NaN,NaN,November
09-Nov-2020,11065,6718.948557,3.491738565,16.81810951,0.511612713,NaN,NaN,74091825,7741289,NaN,NaN,November
10-Nov-2020,10749,8216.706429,1.170699935,4.209743977,0.525247812,NaN,1482314,72768503,8048579,NaN,NaN,November
11-Nov-2020,5087,3059.454869,8.710393101,32.52885437,0.729686975,NaN,NaN,76999632,5225097,NaN,NaN,November
12-Nov-2020,12540,8026.996313,5.039744213,16.45411682,0.501011252,NaN,NaN,71258430,9236253,NaN,NaN,November
13-Nov-2020,8696,5245.133064,1.858754672,24.37256813,0.531056523,NaN,422765,73390566,7336850,NaN,NaN,November
14-Nov-2020,10222,5929.687331,1.548886617,3.686158419,0.510003269,NaN,619833,72733255,8476917,NaN,NaN,November
15-Nov-2020,9980,6728.788053,10.0975214,27.50817871,0.510982275,NaN,NaN,75815816,6489342,NaN,NaN,November
16-Nov-2020,8385,5144.217442,0.640828311,0.698835969,0.582820654,NaN,1371792,75210306,6176950,NaN,NaN,November
17-Nov-2020,10148,5552.276914,3.642699527,32.6718483,0.507412374,NaN,NaN,62986231,6406854,NaN,NaN,November
18-Nov-2020,11622,6759.155502,1.393208308,3.604511261,0.504863322,NaN,NaN,75354452,7713851,NaN,NaN,November
19-Nov-2020,2892,1313.066125,14.14504588,38.82053375,0.508489907,NaN,NaN,64627249,3123253,NaN,NaN,November
20-Nov-2020,8053,4620.880168,7.817708412,29.4450798,0.6142295,NaN,715547,76402280,6241089,NaN,NaN,November
21-Nov-2020,10435,6304.053163,0.679180498,6.610220432,0.501610219,NaN,NaN,74252664,7983975,NaN,NaN,November
22-Nov-2020,6513,3884.208115,0.952623593,1.785271287,0.504648089,NaN,616949,76881815,4367348,NaN,NaN,November
23-Nov-2020,11317,7361.456855,1.869496876,9.310650826,0.50309974,NaN,446317,73031342,8389862,NaN,NaN,November
24-Nov-2020,5213,1296.284748,0.58027402,0.611659467,0.548883557,NaN,NaN,67019070,4174897,NaN,NaN,November
25-Nov-2020,14704,8066.362533,3.698657366,11.31217098,0.502388537,NaN,NaN,76615766,9351935,NaN,NaN,November
26-Nov-2020,5057,2855.592377,2.785377789,7.130608082,0.51774931,NaN,NaN,81874586,3878905,NaN,NaN,November
27-Nov-2020,5216,1773.292446,1.22386086,1.22386086,1.22386086,NaN,NaN,82731820,3668180,NaN,NaN,November
